height,found_at,value,pool_scoring_hashrate_ghps,user_scoring_hashrate_ghps,user_reward
737685,2022-05-24 08:09:38,6.42018213,12600285956.226917,2666302.7039039084,0.00134080
737706,2022-05-24 10:40:16,6.26953021,12694105048.305523,2663988.7271278873,0.00129866
737709,2022-05-24 11:22:08,6.28775689,12665298671.20543,2672475.3373578675,0.00130955
737724,2022-05-24 13:05:14,6.29080876,12459056784.44173,2650818.758706159,0.00132123
737747,2022-05-24 17:10:36,6.33508092,12312827186.853508,2653100.067770816,0.00134730
737757,2022-05-24 19:43:52,6.44563837,12216495527.036407,2664876.201128242,0.00138798
737758,2022-05-24 20:18:01,6.58200303,12228411038.27412,2679503.2940299576,0.00142356
737776,2022-05-25 00:29:50,6.36407640,12632148386.32627,2682223.6814975245,0.00133365
737792,2022-05-25 04:01:07,6.39388103,12698639120.84152,2667222.130695212,0.00132548
737799,2022-05-25 05:24:54,6.29062044,12860791860.450666,2658302.546540209,0.00128340
737811,2022-05-25 06:21:54,6.38967784,12823208525.9109,2656304.2924310034,0.00130653
737812,2022-05-25 06:34:14,6.38982567,12797804504.830936,2648916.9615787775,0.00130546
737813,2022-05-25 07:08:45,6.50745936,12719219315.11753,2668653.869204717,0.00134757
737844,2022-05-25 13:05:07,6.36284021,12739784598.253172,2657589.179046153,0.00131015
737848,2022-05-25 14:09:59,6.48867024,12861932916.83513,2651693.588244331,0.00132029
737849,2022-05-25 14:24:08,6.48376391,12885611982.00994,2661767.126504359,0.00132189
737877,2022-05-25 17:55:26,6.28393758,12888557902.170385,2682310.7074471763,0.00129095
737884,2022-05-25 19:38:13,6.44551776,12829824359.745804,2676277.688362888,0.00132709
737888,2022-05-25 20:09:24,6.42910183,12791161450.862463,2673233.9220936582,0.00132621
737930,2022-05-26 03:25:49,6.31527617,12018756761.648886,2666970.2088142647,0.00138313
737945,2022-05-26 04:42:39,6.29766969,12843016953.999083,2646540.3776436746,0.00128083
737946,2022-05-26 04:44:36,6.25814396,12849646904.87802,2648136.8000433794,0.00127290
737969,2022-05-26 08:57:21,6.26315548,13016221448.326954,2645998.0841500894,0.00125668
737972,2022-05-26 10:12:48,6.54040056,13013320476.614096,2633269.899998587,0.00130636
738019,2022-05-26 17:59:13,6.51139117,12030047324.972878,2650797.7620107527,0.00141626
738032,2022-05-26 19:49:32,6.26926376,11087255142.23777,2674174.780408331,0.00149250
738036,2022-05-26 21:12:24,6.42329227,10983075995.110605,2640386.230004881,0.00152421
738113,2022-05-27 10:54:38,6.45411422,12326759185.794973,2630403.300060167,0.00135941
738133,2022-05-27 13:21:40,6.26989566,12417232216.97499,2632959.668397193,0.00131234
738152,2022-05-27 16:59:45,6.36463944,12074538862.524736,2645756.6409435873,0.00137667
738172,2022-05-27 19:48:01,6.36842352,10785766332.227484,2636618.873577724,0.00153676
738177,2022-05-27 20:21:57,6.32977444,10711057931.40099,2661106.64062959,0.00155229
738187,2022-05-27 23:04:39,6.42299945,10772313562.040495,2634551.495581991,0.00155081
738188,2022-05-27 23:04:47,6.35143522,10764068747.271471,2632586.135240775,0.00153355
738190,2022-05-27 23:33:59,6.44593526,10794885506.496246,2651103.1959470687,0.00156282
738196,2022-05-28 00:45:40,6.38273834,11237126082.26182,2649885.566452616,0.00148574
738199,2022-05-28 01:02:42,6.30332660,11374338714.038603,2635051.314389876,0.00144146
738208,2022-05-28 03:13:15,6.41378453,12201553062.809586,2633534.3886754652,0.00136656
738213,2022-05-28 03:34:45,6.26513738,12171001634.881132,2633345.207777966,0.00133799
738244,2022-05-28 07:23:51,6.31622884,13267639740.614632,2623823.8202711903,0.00123295
738246,2022-05-28 07:58:04,6.43309146,13275565245.01253,2638606.7687601517,0.00126213
738256,2022-05-28 10:02:12,6.37939974,13272189325.74138,2633517.3865051055,0.00124944
738301,2022-05-28 16:04:22,6.37932051,13211527937.032745,2644292.172766596,0.00126033
738308,2022-05-28 17:56:36,6.32149545,13087517060.141382,2639026.536804668,0.00125818
738311,2022-05-28 18:26:50,6.29941796,13001175301.450048,2630394.314114977,0.00125806
738330,2022-05-28 21:22:19,6.25674535,12710787349.429893,900708.223238702,0.00043870
738331,2022-05-28 21:23:07,6.25339305,12697736708.821394,898802.1053823715,0.00043795
738373,2022-05-29 05:15:47,6.26989480,13125450837.595549,1839200.495482721,0.00086595
